candidate_id,rank,score,reasoning
CAND_0046064,1,0.949215,Senior NLP Engineer with 8.9 years of experience in NLP; open to work.
CAND_0039754,2,0.933167,Senior Applied Scientist with 16.2 years of experience in search and retrieval; open to work; experience above the preferred range.
CAND_0079387,3,0.923485,AI Engineer with 6.9 years of experience; open to work.
CAND_0030953,4,0.912666,Search Engineer with 7.8 years of experience in search and retrieval.
CAND_0055905,5,0.903573,Senior Machine Learning Engineer with 8.1 years of experience in LLM applications; open to work.
CAND_0033861,6,0.880477,Senior NLP Engineer with 8.0 years of experience in NLP.
CAND_0041611,7,0.878659,Staff Machine Learning Engineer with 6.4 years of experience in LLM applications.
CAND_0083307,8,0.871513,Search Engineer with 7.8 years of experience in search and retrieval; open to work; 120-day notice period.
CAND_0018499,9,0.867758,Senior Machine Learning Engineer with 7.2 years of experience in LLM applications; open to work.
CAND_0007009,10,0.860904,Recommendation Systems Engineer with 7.9 years of experience in search and retrieval; open to work.
CAND_0055992,11,0.859609,AI Engineer with 16.9 years of experience in search and retrieval; open to work; experience above the preferred range.
CAND_0077337,12,0.848764,Staff Machine Learning Engineer with 7.0 years of experience in LLM applications; open to work; recruiter response rate 0.95.
CAND_0005649,13,0.846258,Senior Data Scientist with 7.4 years of experience; open to work; 90-day notice period.
CAND_0044855,14,0.834686,Senior Data Scientist with 6.6 years of experience in search and retrieval.
CAND_0005260,15,0.834556,Senior NLP Engineer with 5.2 years of experience in NLP.
CAND_0008425,16,0.824816,Senior NLP Engineer with 7.8 years of experience in NLP; open to work; 90-day notice period.
CAND_0092278,17,0.82293,Senior NLP Engineer with 6.8 years of experience in NLP; 90-day notice period.
CAND_0086022,18,0.820094,Senior Applied Scientist with 5.3 years of experience in LLM applications; open to work.
CAND_0044883,19,0.810488,AI Engineer with 6.3 years of experience; 90-day notice period.
CAND_0091534,20,0.808307,AI Engineer with 16.6 years of experience in search and retrieval; experience above the preferred range.
